1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E50000007D93F841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Tue May 16 23:59:01 BST 2023
Mission Sample Count:  1611
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Tue May 16 23:59:01 BST 2023
Total Mission Samples:  1611
Total Device Samples:  19215
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/05/2023, 14:59:01,C,19.062
25/05/2023, 15:29:01,C,18.561
25/05/2023, 15:59:01,C,18.061
25/05/2023, 16:29:01,C,18.061
25/05/2023, 16:59:01,C,17.56
25/05/2023, 17:29:01,C,17.06
25/05/2023, 17:59:01,C,16.559
25/05/2023, 18:29:01,C,15.558
25/05/2023, 18:59:01,C,15.558
25/05/2023, 19:29:01,C,14.556
25/05/2023, 19:59:01,C,14.055
25/05/2023, 20:29:01,C,13.555
25/05/2023, 20:59:01,C,13.054
25/05/2023, 21:29:01,C,12.052
25/05/2023, 21:59:01,C,11.551
25/05/2023, 22:29:01,C,11.05
25/05/2023, 22:59:01,C,11.05
25/05/2023, 23:29:01,C,11.05
25/05/2023, 23:59:01,C,10.549
26/05/2023, 00:29:01,C,9.547
26/05/2023, 00:59:01,C,9.046
26/05/2023, 01:29:01,C,8.544
26/05/2023, 01:59:01,C,8.043
26/05/2023, 02:29:01,C,8.043
26/05/2023, 02:59:01,C,7.542
26/05/2023, 03:29:01,C,8.043
26/05/2023, 03:59:01,C,7.542
26/05/2023, 04:29:01,C,7.041
26/05/2023, 04:59:01,C,7.041
26/05/2023, 05:29:01,C,7.542
26/05/2023, 05:59:01,C,7.041
26/05/2023, 06:29:01,C,8.544
26/05/2023, 06:59:01,C,10.048
26/05/2023, 07:29:01,C,11.551
